measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1995,1633193.852,1670374.883,1589968.014
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1995,8338544.43,8445727.376,8237107.621
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1995,11899943.34,12127224.97,11653601.85
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1995,32365516.82,32644953.89,32052375.56
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1996,10268688.08,10367826.61,10175687.2
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1996,1611124.45,1651964.049,1571541.437
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1996,8458422.345,8575000.458,8346683.901
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1996,11890628.1,12114451.3,11660417.06
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1996,32228862.97,32490361.17,31937308.31
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1993,10825177.75,10923723.41,10715160.03
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1993,1671035.429,1711503.191,1630298.567
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1993,7957491.444,8058464.064,7847451.848
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1993,11827533.67,12063591.93,11590241.86
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1993,32281238.29,32560147.92,31989367.74
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1994,10672326.42,10775113.93,10579333.6
1,Deaths,1,Global,3,Both,23,5-14 years,294,All causes,1,Number,1994,1752153.239,1834803.784,1689326.355
1,Deaths,1,Global,3,Both,24,15-49 years,294,All causes,1,Number,1994,8773473.471,9195160.211,8456669.756
1,Deaths,1,Global,3,Both,25,50-69 years,294,All causes,1,Number,1994,11948385.33,12207355.91,11721206.5
1,Deaths,1,Global,3,Both,420,<70 years,294,All causes,1,Number,1994,33146338.46,33752140.61,32670891.05
1,Deaths,1,Global,3,Both,1,<5 years,294,All causes,1,Number,1999,9347386.479,9446597.247,9251935.806
